video_id,video,caption,source
WTf5EgVY5uU_98_104,WTf5EgVY5uU_98_104.avi,"['a woman breaks an egg', 'a woman breaks two eggs in a bowl', 'a woman cracks an egg against the rim of a glass bowl and puts it inside', 'a woman cracks an egg and puts it into a bowl with another egg', 'a woman cracks eggs into a bowl', 'a woman cracks open two eggs into a bowl', 'a woman cracks two eggs into a bowl', 'a woman cracks two eggs into a glass bowl', 'a woman is adding an egg into the bowl', 'a woman is breaking eggs', 'a woman is cracking an egg into a bowl', 'a woman is cracking an egg', 'a woman is cracking eggs', 'a woman is cracking eggs', 'a woman is pouring eggs into a bowl', 'the lady broke raw eggs into a bowl', 'the lady cracked the eggs and stirred them', 'the lady is cracking eggs into a bowl', 'the woman is cracking eggs into a bowl', 'learn to make omurice', 'a woman beating the eggs in a glass bowl', 'the women is making the omelet', 'a woman cracks eggs into a bowl', 'a yummy dish beautifully garnished', 'a woman cracks eggs', 'the woman is cracking two eggs in the bowl', 'a girl pour the egg', 'a woman is breaking eggs into a bowl', 'a lady is cracking two eggs and put it into a bowl', 'a woman is breaking some eggs', 'a woman is breaking eggs into a bowl', 'a woman is breaking two egges in a bowl', 'a woman cooking omurice', 'a lady is breaking the eggs', 'a chinese lady breaking the eggs in a bowl with her dog inorder to make some dish', 'a woman is cracking open eggs into a bowl', 'a person is doing something with egg', 'chinese lady is cooking a chicken dish named as omurice with her dog', 'a women making food with her dog', 'a man cooking his kichen', 'a woman pours the content of raw eggs after breaking them into a bowl', 'the woman is cracking eggs', 'lady is smashing eggs', 'a women is making dish', 'a woman is breaking eggs into a glass bowl while a poodle watches', 'a woman cracks eggs into a bowl and begins to beat them', 'a woman is breaking the eggs']",MSVD
WeOU0Iba1Xg_1_30,WeOU0Iba1Xg_1_30.avi,"['a man galloping on his horse', 'a girl is riding a horse', 'a man is riding a brown horse', 'a man is riding a horse bareback', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding on a horse', 'a man rides a horse', 'a man sitting on the back of a horse is having a bumpy ride', 'the person is riding the horse', 'a man riding a horse', 'a girl riding horse', 'a woman riding a horse', 'a young girl riding bareback on a horse', 'a man is riding on a mad horse', 'girl riding a horse', 'a galloping horse', 'a girl is riding a horse', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding a horse', 'a man is riding bareback on an energetic horse', 'a man is riding horse', 'a man rides a horse', 'a man rides a horse', 'a man rides his horse bareback in a field', 'a man rides on a horse bareback', 'a man riding a horse bareback', 'a man riding a horse', 'a man riding on horse', 'a man riding the horse', 'a woman is riding a horse', 'a woman is riding a horse', 'a woman rides a horse around a yard', 'horse begins to run', 'someone riding a horse', 'the girl galloped on the brown horse', 'the girl rode her brown horse on the grass', 'the lady is riding the horse', 'the man is riding a horse bareback', 'the woman is riding a horse', 'a man is riding a horse', 'a man having fun with horse psycho']",MSVD
0wutCy2ZGOQ_4_10,0wutCy2ZGOQ_4_10.avi,"['several boys are playing football in a fenced in area', 'people are playing football', 'boys are playing football', 'boys are playing a rugby ball', 'some boys are playing football in a yard', 'kids are playing football', 'several boys are playing football in the backyard', 'a group of kids play football', 'some boys are playing football', 'some boys are playing football', 'several kids are playing football', 'the boys are playing football', 'some kids play touch football', 'boys are playing football', 'the boys played a game of football', 'the boys are playing', 'the boys are playing rugby', 'boys are playing rugby', 'all peoples are talking', 'a gorup of guys are playing football', 'the tv show nineteen kids and counting', 'the kids are playing', 'several kids are playing football', 'because they wanted to be closer to josie', 'the boys played a game of sandlot football', 'the boys are playing football']",MSVD
IWhrWLOAin0_1_4,IWhrWLOAin0_1_4.avi,"['a large dog gets something out of a refrigerator', 'a dog closes a refrigerator door', 'a dog grabs food from a fridge', 'a refrigerator door is standing open and a dog is getting something out of the refrigerator', 'a dog is eating food out of the refrigerator', 'a dog is opening a fridge', 'a dog is taking something from a refrigerator', 'a dog is stealing food from a refrigerator', 'a dog walks by a refriderator', 'a dog is grabbing something from the refrigerator', 'the dog took something out of the refrigerator', 'the dog opened the refrigerator', 'a dog opens the refrigerator', 'the dog helped himself to the food in the refrigerator', 'a vedio showing funny animals', 'a dog is getting in a fridge', 'a dog is open fridge', 'the dog is doing the something', 'a dog is open the fridge', 'a dog closes a fridge door', 'a dog closing and open fridge', 'a dog is exploring the refrigerator', 'this video is not showing picture', 'the dog ate something from the refrigerator', 'the dog opened the refrigerator', 'comedy funny animals video', 'a dog is taking out something from a fridge', 'a dog gets himself a snack from the refrigerator']",MSVD
O9cOSO9L8Zs_1_16,O9cOSO9L8Zs_1_16.avi,"['a man is swinging on a rope', 'a man is swinging in a rope', 'a man is swinging on a chain', 'a man is swinging from a rope attached to the ceiling', 'a man swings across the room on a chain', 'a man swings from a chain', 'a man is swinging to and fro on a rope in a store room as loud noises are heard in the background', 'a man is swinging from a chain in a garage', 'the man swung from a rope', 'the man is swinging on the chain', 'a man is swinging on a chain', 'someone rode a rope in the garage', 'a boy climb on the rope', 'a guy is playing in the room', 'a man doing some funny stunts', 'a man is hanging on a rope', 'a man is swinging from a rope', 'a man is swinging on a rope', 'a man is swinging with a rope', 'a man swinging from a rope', 'a men doing action in the house', 'one fat man hanging with the help of rope in air', 'the man is hanging in the rope', 'a guy hanging with rope', 'a guy is swinging on a rope', 'a man hanging on a chain and revolving here and there', 'a man holds onto a moving chain', 'a man is playing on the rope', 'a man is swing upside down on a rope', 'a man is swinging from a chain in a garage', 'a man is swinging from a chain', 'a man is swinging from a rope in his garage', 'a man is swinging on a rope', 'a man is swinging on a rope', 'a man is swinging on a rope', 'a man is swinging on rope', 'a man is swinging on the rope', 'a man is swinging', 'a man is trying an action hero', 'a man performing amazing stunts with a rope', 'a man swings around', 'a man swings on a rope in a garage', 'a man swings on the wire that is hanging from the ceiling', 'a man wearing a cowboy hat swings from a rope inside a garage', 'a person is hanging on a rope', 'a person is swinging on a rope in a garage', 'man swinging on a rope', 'someone swinging on a chain', 'a man is oscillating on a rope', 'a man is playing with the rope', 'the person is playing the thread', 'a man is hanging a rope']",MSVD
02Z-kuB3IaM_2_13,02Z-kuB3IaM_2_13.avi,"['a black boar is running in the woods', 'a wild boar is running', 'a wild boar is running', 'a pig is running in the wood', 'a wild boar is running through the woods', 'a wild pig is running', 'a wild pig is running', 'a boar is running', 'a boar is running through the woods', 'a pig is running', 'a boar is running through a field', 'the wild pig went running through the woods', 'the boar is running in the woods', 'a boar runs through the woods', 'a boar is running through a forest', 'the wild pig ran through the trees', 'the pig is ran very fast', 'a wild black boar attacking', 'a boar is running in the woods', 'this video has been blocked', 'a wild boar charges through the woods', 'a big wild boar running quicker in the forest', 'a wild boar is running through the trees', 'a wild boar is running', 'a wild boar is running', 'running like the wind', 'the wild pig ran through the woods', 'a pig is running', 'the boar is running', 'the pig is running the forest']",MSVD
UbmZAe5u5FI_36_40,UbmZAe5u5FI_36_40.avi,"['a woman is squeezing the liquid out of cucumber slices with her hands over a glass bowl', 'a woman is wringing water out of food', 'a woman is holding a handful of cucumber slices', 'a person is squeezing the juice out of sliced cucumbers', 'a woman is squeezing water from vegetables', 'a woman is squeezing the liquid from cucumber slices', 'a woman squeezes juice out of a handful of pickles', 'a woman squeezes water from some cucumbers', 'a woman is squeezing juice from vegetables', 'a woman is squeezing some cucumber slices', 'the woman is squeezing out the water', 'a woman is squeezing water from cucumber slices with her hands', 'a person drains the water from some vegetables into a bowl', 'the lady squeezed the liquid out of the cucumber slices', 'the women preparing the food', 'a woman is hand squeezing sliced cucumbers', 'a woman is squeezing the juice out of some pickles', 'a lady squeezing some juice out of a cucumber', 'the lady is doing remove the water in the vegetable', 'a woman squeezing out cucumbers', 'a person is cooking', 'a person is squeezing some cucumbers', 'a chef is squeezing juice out of zucchini', 'a woma is cooking the fish', 'the lady squeezed liquid from the sliced cucumbers', 'a man cooking his kichen', 'the woman is squeezing out the water from the cucumber']",MSVD
C_1cnNdMwxY_0_8,C_1cnNdMwxY_0_8.avi,"['a man is playing with a puppy on the floor', 'a dog is spun on the ground by a man', 'a man is playing with a dog on the floor by spinning the dog in a circle', 'a man is playing with a dog', 'a man is playing with a dog', 'a man is spinning a puppy on the floor', 'a man slides a dog around on the floor', 'a man is spinning a puppy on the floor', 'a man is spinning a dog on the floor', 'a dog is playing', 'a man is playing with his dog on the floor', 'the man played with his dog by spinning him around on the floor', 'the man is playing with the dog', 'a dog spins around on the floor', 'the man spun a dog around on the floor', 'a person is playing with puppy', 'man was playing with dog', 'the man is playing with dog', 'a man is playing with a dog', 'a man is playing with the puppy', 'a man is spinning a dog in circles on the floor', 'a man abuse a puppy', 'a man is spinning a dog', 'a man is rotating a puppy on the floor', 'a man is catching the puppy', 'a man playing with a puppy', 'a man plays with a dog', 'a man is playing with a dog', 'the man is spinning the dog on the floor', 'a man is playing with dog', 'the dog is the puppy abuse', 'the puppy is abuse video', 'a man is spinning a puppy around on the floor', 'a man spins a dog around on the floor']",MSVD
W8l_ezoU8Lc_55_70,W8l_ezoU8Lc_55_70.avi,"['a man is playing a guitar', 'a man is playing guitar', 'a man is playing guitar', 'a man is playing the guitar', 'a man is playing the guitar', 'a man plays a guitar', 'a man plays an electric guitar', 'a man plays the guitar', 'a musician is playing an electrical guitar on stage', 'an indian man is playing a guitar', 'men are playing guitars', 'the man played his guitar with a friend', 'the man played his guitar', 'the men are playing the electric guitar', 'two men a playing guitars together', 'two men are playing a guitar', 'two men are playing electric guitars', 'two men are playing guitar', 'two men are playing guitars', 'two men play guitars', 'men performing guitar', 'the person is playing guttier', 'two men are playing guitars', 'the great singer mrspbalasubramanian given interview and sing', 'a man is playing a guitar', 'a man is playing the guitar', 'a man is playing gitur', 'a man is playing some instrument', 'two men are playing guitars', 'a man is playing a guitar', 'two men are playing guitar', 'playing the guiter', 'a man is playing electric guitar', 'two men are playing guitars', 'two men playing guitars', 'a man playing guitar', 'a man playing gitar', 'suresh gopy is playing gittar', 'the person is playing guittier', 'a man playing with a guitar', 'a man plays electric guitar', 'a man playing music', 'two men are playing guitar on a television show', 'two men are playing electric guitars', 'the men are playing guitar', 'two men are playing electric guitar and bass', 'a man plays guitar']",MSVD
1sffYOXq4Iw_23_49,1sffYOXq4Iw_23_49.avi,"['a person cutting a potatoes', 'a cook cuts a potato', 'a man cuts a potato at both ends and thereafter slices it into thick strips', 'a man is chopping a potato', 'a man is slicing potatoes', 'a person is slicing potatoes into fries', 'a person is using a knife to cut a potato into wedges', 'a potato is being cut', 'a potato is being sliced into many pieces', 'a potato is being sliced', 'someone is cutting a raw potato into strips', 'someone is slicing a raw potatoe', 'the cook is slicing a potato into french fries', 'cutting potatoes', 'potato is been cut in pieces', 'someone is slicing potatoes', 'the way of making french fries', 'perparing something', 'a guy is teaching how to prepare the french fries recipe', 'chef john is showing how to make homemade french fries that are very crispy', 'someone is slicing tomatoes', 'a cook chops some potatos', 'a man is cutting a potato into fourths', 'a man is cutting a potato', 'a man is cutting a potato', 'a man is cutting and slicing a potato', 'a man is cutting potatoes', 'a man is cutting potatoo with knife', 'a man is making patato slice', 'a man is slicing a potato into pieces', 'a man is slicing a potato', 'a man is slicing some vegitable', 'a person is carefully slicing a potato', 'a person is cutting a potato', 'a person is cutting some potatos', 'a person is slicing a potato', 'a person is slicing a potato', 'a woman is slicing a potato', 'french fries ready to be eaten', 'someone cut a potatoe', 'someone is chopping potatoes', 'someone is slicing a potato', 'someone is slicing potatoe', 'someone is slicing potatoes', 'someone sliced a potatoe into french fry shapes', 'someone slices a potato with the skin on and cuts them into french fry size pieces', 'the cook is slicing a potato into french fries', 'the person is slicing potatoes into french fries', 'the potato is being cut from both sides first']",MSVD
